subj,block,success_rate,condition,run,stage
GL03,0,0.0763888888888889,FB,1,early
GL04,0,0.28715277777777776,FB,1,early
GL05,0,0.09270833333333334,FB,1,early
GL06,0,0.029166666666666667,FB,1,early
GL07,0,0.12881944444444443,FB,1,early
GL08,0,0.17569444444444443,FB,1,early
GL09,0,0.10729166666666666,FB,1,early
GL10,0,0.04548611111111111,FB,1,early
GL11,0,0.14930555555555555,FB,1,early
GL12,0,0.05451388888888889,FB,1,early
GL14,0,0.40069444444444446,FB,1,early
GL15,0,0.033680555555555554,FB,1,early
GL16,0,0.14270833333333333,FB,1,early
GL17,0,0.075,FB,1,early
GL18,0,0.034722222222222224,FB,1,early
GL19,0,0.18784722222222222,FB,1,early
GL20,0,0.146875,FB,1,early
GL21,0,0.0625,FB,1,early
GL22,0,0.028125,FB,1,early
GL24,0,0.15555555555555556,FB,1,early
GL25,0,0.11736111111111111,FB,1,early
GL26,0,0.23472222222222222,FB,1,early
GL27,0,0.15763888888888888,FB,1,early
GL29,0,0.12881944444444443,FB,1,early
GL03,1,0.00034722222222222224,nFB,1,early
GL04,1,0.31319444444444444,nFB,1,early
GL05,1,0.001736111111111111,nFB,1,early
GL06,1,0.021527777777777778,nFB,1,early
GL07,1,0.018055555555555554,nFB,1,early
GL08,1,0.009027777777777777,nFB,1,early
GL09,1,0.07256944444444445,nFB,1,early
GL10,1,0.00798611111111111,nFB,1,early
GL11,1,0.0045138888888888885,nFB,1,early
GL12,1,0.016666666666666666,nFB,1,early
GL14,1,0.08784722222222222,nFB,1,early
GL15,1,0.009375,nFB,1,early
GL16,1,0.007291666666666667,nFB,1,early
GL17,1,0.005555555555555556,nFB,1,early
GL18,1,0.06145833333333333,nFB,1,early
GL19,1,0.007291666666666667,nFB,1,early
GL20,1,0.012152777777777778,nFB,1,early
GL21,1,0.010763888888888889,nFB,1,early
GL22,1,0.027430555555555555,nFB,1,early
GL24,1,0.006597222222222222,nFB,1,early
GL25,1,0.06041666666666667,nFB,1,early
GL26,1,0.013194444444444444,nFB,1,early
GL27,1,0.004166666666666667,nFB,1,early
GL29,1,0.0024305555555555556,nFB,1,early
GL03,2,0.07569444444444444,FB,1,early
GL04,2,0.38472222222222224,FB,1,early
GL05,2,0.14722222222222223,FB,1,early
GL06,2,0.07326388888888889,FB,1,early
GL07,2,0.21388888888888888,FB,1,early
GL08,2,0.3454861111111111,FB,1,early
GL09,2,0.121875,FB,1,early
GL10,2,0.058680555555555555,FB,1,early
GL11,2,0.0045138888888888885,FB,1,early
GL12,2,0.021527777777777778,FB,1,early
GL14,2,0.3121527777777778,FB,1,early
GL15,2,0.15208333333333332,FB,1,early
GL16,2,0.16111111111111112,FB,1,early
GL17,2,0.08541666666666667,FB,1,early
GL18,2,0.26180555555555557,FB,1,early
GL19,2,0.17083333333333334,FB,1,early
GL20,2,0.196875,FB,1,early
GL21,2,0.3020833333333333,FB,1,early
GL22,2,0.1,FB,1,early
GL24,2,0.12118055555555556,FB,1,early
GL25,2,0.08472222222222223,FB,1,early
GL26,2,0.11875,FB,1,early
GL27,2,0.02673611111111111,FB,1,early
GL29,2,0.37777777777777777,FB,1,early
GL03,3,0.050347222222222224,nFB,1,early
GL04,3,0.17673611111111112,nFB,1,early
GL05,3,0.0625,nFB,1,early
GL06,3,0.012847222222222222,nFB,1,early
GL07,3,0.01423611111111111,nFB,1,early
GL08,3,0.07534722222222222,nFB,1,early
GL09,3,0.078125,nFB,1,early
GL10,3,0.08888888888888889,nFB,1,early
GL11,3,0.03993055555555555,nFB,1,early
GL12,3,0.025347222222222222,nFB,1,early
GL14,3,0.01423611111111111,nFB,1,early
GL15,3,0.013194444444444444,nFB,1,early
GL16,3,0.1545138888888889,nFB,1,early
GL17,3,0.006944444444444444,nFB,1,early
GL18,3,0.012847222222222222,nFB,1,early
GL19,3,0.012847222222222222,nFB,1,early
GL20,3,0.010069444444444445,nFB,1,early
GL21,3,0.03680555555555556,nFB,1,early
GL22,3,0.004861111111111111,nFB,1,early
GL24,3,0.0024305555555555556,nFB,1,early
GL25,3,0.1545138888888889,nFB,1,early
GL26,3,0.04722222222222222,nFB,1,early
GL27,3,0.014930555555555556,nFB,1,early
GL29,3,0.290625,nFB,1,early
GL03,4,0.06631944444444444,FB,1,early
GL04,4,0.38645833333333335,FB,1,early
GL05,4,0.20416666666666666,FB,1,early
GL06,4,0.20729166666666668,FB,1,early
GL07,4,0.22291666666666668,FB,1,early
GL08,4,0.39305555555555555,FB,1,early
GL09,4,0.09097222222222222,FB,1,early
GL10,4,0.033680555555555554,FB,1,early
GL11,4,0.303125,FB,1,early
GL12,4,0.007291666666666667,FB,1,early
GL14,4,0.4267361111111111,FB,1,early
GL15,4,0.043055555555555555,FB,1,early
GL16,4,0.03819444444444445,FB,1,early
GL17,4,0.12222222222222222,FB,1,early
GL18,4,0.2076388888888889,FB,1,early
GL19,4,0.18506944444444445,FB,1,early
GL20,4,0.2013888888888889,FB,1,early
GL21,4,0.09375,FB,1,early
GL22,4,0.20625,FB,1,early
GL24,4,0.2947916666666667,FB,1,early
