subj,label,cond,beta
GL03,DAN,CF,1.438713024391323
GL03,DAN,BF,0.9288820346305412
GL03,VAN,CF,0.9314562879218748
GL03,VAN,BF,0.6132239573035715
GL03,FPN,CF,0.6804069741901478
GL03,FPN,BF,0.48559013968299847
GL03,DMN,CF,0.4722162836336359
GL03,DMN,BF,0.30929763042215347
GL04,DAN,CF,0.8544785949989814
GL04,DAN,BF,0.6202764207125969
GL04,VAN,CF,0.1738956610921907
GL04,VAN,BF,0.269377722511634
GL04,FPN,CF,0.1962784555262783
GL04,FPN,BF,0.3801654231393637
GL04,DMN,CF,-0.04731234693754054
GL04,DMN,BF,-0.15279815294412386
GL05,DAN,CF,0.8944416409099525
GL05,DAN,BF,0.4884162592633226
GL05,VAN,CF,0.7594242093330749
GL05,VAN,BF,0.521450802535063
GL05,FPN,CF,0.40749097105092796
GL05,FPN,BF,0.2908610950252083
GL05,DMN,CF,0.40384820283769407
GL05,DMN,BF,0.23067692395403663
GL06,DAN,CF,0.16921057680596438
GL06,DAN,BF,-0.21705483753213625
GL06,VAN,CF,-0.2184727735494923
GL06,VAN,BF,-0.33697417588379563
GL06,FPN,CF,-0.36692935270253796
GL06,FPN,BF,-0.24041257060594295
GL06,DMN,CF,-0.518834133765967
GL06,DMN,BF,-0.48311050101254693
GL07,DAN,CF,1.3169461509493248
GL07,DAN,BF,0.5042599396084934
GL07,VAN,CF,0.815804045485337
GL07,VAN,BF,0.4450996324674319
GL07,FPN,CF,0.2678725190478291
GL07,FPN,BF,0.12906126672840323
GL07,DMN,CF,-0.4313413082323377
GL07,DMN,BF,-0.2819098333559293
GL08,DAN,CF,0.4431664356340815
GL08,DAN,BF,0.27843267740206085
GL08,VAN,CF,-0.02056837245848047
GL08,VAN,BF,-0.028632507066810982
GL08,FPN,CF,-0.021636752016773463
GL08,FPN,BF,-0.0038533840384601167
GL08,DMN,CF,-0.07416665955911951
GL08,DMN,BF,-0.08375924912107315
GL09,DAN,CF,1.8202017433161424
GL09,DAN,BF,1.4042028168558724
GL09,VAN,CF,1.0677285400375152
GL09,VAN,BF,0.9058016352570176
GL09,FPN,CF,0.9567246715183281
GL09,FPN,BF,0.9133897768188053
GL09,DMN,CF,0.17178399155206703
GL09,DMN,BF,0.08056308612166656
GL10,DAN,CF,1.219367158978003
GL10,DAN,BF,0.45399927140970014
GL10,VAN,CF,0.49736666836169546
GL10,VAN,BF,0.21575243339914918
GL10,FPN,CF,0.5885268251707099
GL10,FPN,BF,0.45396805778177324
GL10,DMN,CF,0.16116650919826972
GL10,DMN,BF,0.09480401315537143
GL11,DAN,CF,1.6658326708604183
GL11,DAN,BF,1.2989867832571862
GL11,VAN,CF,0.9792872435686812
GL11,VAN,BF,0.782703168258838
GL11,FPN,CF,0.7823938037793351
GL11,FPN,BF,0.8212759712913696
GL11,DMN,CF,0.49768985284544737
GL11,DMN,BF,0.30782593666513713
GL12,DAN,CF,1.3029516049955874
GL12,DAN,BF,0.8103062376959188
GL12,VAN,CF,0.5167901760956938
GL12,VAN,BF,0.4727724980464335
GL12,FPN,CF,0.5487653433320152
GL12,FPN,BF,0.49157331710968805
GL12,DMN,CF,-0.1590565510255478
GL12,DMN,BF,-0.03014988380214465
GL14,DAN,CF,1.2142301644974787
GL14,DAN,BF,0.9396521687902902
GL14,VAN,CF,0.5190970176945005
GL14,VAN,BF,0.551511926679724
GL14,FPN,CF,0.6663221347445645
GL14,FPN,BF,0.8592996471313842
GL14,DMN,CF,0.40646348147755607
GL14,DMN,BF,0.2097228980881372
GL15,DAN,CF,0.6749705599642937
GL15,DAN,BF,0.34420652249518546
GL15,VAN,CF,-0.14255448169584276
GL15,VAN,BF,-0.0993197576229554
GL15,FPN,CF,0.011519797147550389
GL15,FPN,BF,0.1723341280594127
GL15,DMN,CF,-0.7600973282386827
GL15,DMN,BF,-0.5014698011174888
GL16,DAN,CF,1.1242856269991
GL16,DAN,BF,0.5969583466773035
GL16,VAN,CF,0.04830846160789503
GL16,VAN,BF,-0.04575330123578875
GL16,FPN,CF,0.5240044809141783
GL16,FPN,BF,0.5357648812481723
GL16,DMN,CF,-0.5158823534520683
GL16,DMN,BF,-0.4995747010921753
GL17,DAN,CF,0.9189656627460608
GL17,DAN,BF,0.7018055486047774
GL17,VAN,CF,0.40199496344075863
GL17,VAN,BF,0.35529726274626183
GL17,FPN,CF,0.3150575457919458
GL17,FPN,BF,0.31863866169544264
GL17,DMN,CF,-0.14177939744853735
GL17,DMN,BF,-0.19637103947117623
GL18,DAN,CF,2.1065100773977408
GL18,DAN,BF,2.1348561512447466
GL18,VAN,CF,1.6230007334432244
GL18,VAN,BF,1.7703238781744892
GL18,FPN,CF,1.3825304240340959
GL18,FPN,BF,1.6583206523339207
