subj,label,cond,beta
GL03,2,CF,1.57869730251176
GL03,2,BF,1.3373144779886519
GL03,3,CF,1.6160273120321076
GL03,3,BF,1.0759880235739823
GL03,4,CF,2.908136515153779
GL03,4,BF,2.1459481534030704
GL03,5,CF,2.149379302774157
GL03,5,BF,1.3608574068972044
GL03,6,CF,1.6498492757537375
GL03,6,BF,1.1971535431177607
GL03,7,CF,1.1224900914513203
GL03,7,BF,0.6760449149289606
GL03,8,CF,1.643507101364872
GL03,8,BF,1.0525543525212389
GL03,9,CF,1.3739034841314723
GL03,9,BF,0.9810278423440953
GL03,10,CF,1.4510997860269113
GL03,10,BF,1.1886122439225966
GL03,11,CF,1.9586541175199341
GL03,11,BF,1.6589060075868272
GL03,12,CF,2.3662986923420033
GL03,12,BF,2.116496881859048
GL03,13,CF,1.671358503641026
GL03,13,BF,1.305161899665721
GL03,14,CF,1.6843538126846154
GL03,14,BF,1.5493369372189045
GL03,15,CF,2.2230349424196847
GL03,15,BF,2.103371118480836
GL03,16,CF,2.0877141857507246
GL03,16,BF,2.0880376621330745
GL03,17,CF,2.153175547011028
GL03,17,BF,2.095918817285499
GL03,18,CF,3.215716890478667
GL03,18,BF,3.322310382597904
GL03,19,CF,2.3744156378083647
GL03,19,BF,2.703647762116154
GL03,20,CF,1.9979548593578131
GL03,20,BF,2.5502355513051134
GL03,21,CF,1.679711690803385
GL03,21,BF,2.3461029149878483
GL03,22,CF,1.7622155698003075
GL03,22,BF,2.262623276475632
GL03,23,CF,1.3233261992230616
GL03,23,BF,1.7167851033648758
GL03,24,CF,1.5327281031006914
GL03,24,BF,1.7762232717905386
GL03,25,CF,1.2430314091573609
GL03,25,BF,1.2819186708625607
GL03,26,CF,1.866171191864662
GL03,26,BF,1.661631125052108
GL03,27,CF,1.8883025245330736
GL03,27,BF,1.5709070680724018
GL03,28,CF,2.2460185440789378
GL03,28,BF,1.9229697164250252
GL03,29,CF,2.5672967262421933
GL03,29,BF,2.0954570915145028
GL04,2,CF,1.3178702976022447
GL04,2,BF,0.8750788250139782
GL04,3,CF,1.6572942219931504
GL04,3,BF,1.2474554448934465
GL04,4,CF,1.9721776098012924
GL04,4,BF,0.9632258653226826
GL04,5,CF,1.4849512125764575
