subj,label,cond,beta
GL03,Early,CF,0.9420237419322423
GL03,Early,BF,0.8158679499911725
GL03,V3AB,CF,0.8843681246554764
GL03,V3AB,BF,0.5570361800899849
GL03,V7,CF,1.5024517188423592
GL03,V7,BF,0.7189862692618431
GL04,Early,CF,-0.06858884099941553
GL04,Early,BF,0.20626681653850443
GL04,V3AB,CF,-0.8511645404158742
GL04,V3AB,BF,-0.7225175733345602
GL04,V7,CF,0.5199053382721699
GL04,V7,BF,-0.7808296910106972
GL05,Early,CF,0.8985280511235447
GL05,Early,BF,1.034386278030086
GL05,V3AB,CF,0.9270495525988027
GL05,V3AB,BF,0.16288488075093954
GL05,V7,CF,1.9963651176215418
GL05,V7,BF,0.875863512532214
GL06,Early,CF,-0.18761769409125328
GL06,Early,BF,0.20386475452419126
GL06,V3AB,CF,-1.5716451519694055
GL06,V3AB,BF,-1.2369480592474482
GL06,V7,CF,-0.6740268577394513
GL06,V7,BF,-1.071076229442368
GL07,Early,CF,0.1599293463700232
GL07,Early,BF,0.3200849745437319
GL07,V3AB,CF,-0.1881240012726322
GL07,V3AB,BF,-0.5309285045112951
GL07,V7,CF,1.2310685984551977
GL07,V7,BF,-0.04830206386994359
GL08,Early,CF,0.051184376437936704
GL08,Early,BF,0.32983656002368555
GL08,V3AB,CF,-0.4177124652777711
GL08,V3AB,BF,-0.17930977915213592
GL08,V7,CF,-0.1173567261656093
GL08,V7,BF,-0.2568994441630222
GL09,Early,CF,0.910905641514801
GL09,Early,BF,0.8978544753570064
GL09,V3AB,CF,0.5565643489483043
GL09,V3AB,BF,-0.1608637196689352
GL09,V7,CF,1.2001370404268752
GL09,V7,BF,0.3951451330501983
GL10,Early,CF,-0.024296310838793713
GL10,Early,BF,-0.009610672521382943
GL10,V3AB,CF,-0.8512143977930564
GL10,V3AB,BF,-1.1000619125969044
GL10,V7,CF,0.6830632915068748
GL10,V7,BF,-0.31460589877531425
GL11,Early,CF,1.2473893105375213
GL11,Early,BF,1.1326433952520016
GL11,V3AB,CF,0.4347640485891849
GL11,V3AB,BF,-0.0883488022047645
GL11,V7,CF,1.67427875343335
GL11,V7,BF,0.5240804268442942
GL12,Early,CF,0.17184868112026375
GL12,Early,BF,0.08629807480817245
GL12,V3AB,CF,0.03390449580976011
GL12,V3AB,BF,-0.4292431459064479
GL12,V7,CF,0.8234364645546788
GL12,V7,BF,-0.16517668202838318
GL14,Early,CF,0.540539615225114
GL14,Early,BF,0.8147330106743673
GL14,V3AB,CF,-0.1831879531183465
GL14,V3AB,BF,-0.09260422415098
GL14,V7,CF,1.354278692954454
GL14,V7,BF,0.5504887298412701
GL15,Early,CF,-1.2665563875213806
GL15,Early,BF,-1.1046216409446208
GL15,V3AB,CF,-0.7324410413656903
GL15,V3AB,BF,-0.9493834699072434
GL15,V7,CF,-0.008300862843899047
GL15,V7,BF,-0.6940319392686684
GL16,Early,CF,-0.9503087292526303
GL16,Early,BF,-0.7610360624844936
GL16,V3AB,CF,-1.8907163139409855
GL16,V3AB,BF,-1.8516215435388128
GL16,V7,CF,0.7838471041303194
GL16,V7,BF,-0.3468298929177254
GL17,Early,CF,0.04030515081198562
GL17,Early,BF,0.14330405650203354
GL17,V3AB,CF,-0.12466433922209584
GL17,V3AB,BF,-0.33498636115636626
GL17,V7,CF,1.2259059805960408
GL17,V7,BF,0.4976575308031087
GL18,Early,CF,1.9843873903905551
GL18,Early,BF,2.19940334575931
GL18,V3AB,CF,0.6516574039480939
GL18,V3AB,BF,0.8522173204703412
GL18,V7,CF,1.468720585456939
GL18,V7,BF,1.3456622812587997
GL19,Early,CF,0.7906285119837355
GL19,Early,BF,1.1302774757000074
GL19,V3AB,CF,0.36938616178264927
GL19,V3AB,BF,-0.012084410787207235
GL19,V7,CF,0.93687675606914
GL19,V7,BF,0.09441834598659953
GL20,Early,CF,-0.8436264698000747
GL20,Early,BF,-0.412476198222603
GL20,V3AB,CF,-1.2591743256093846
GL20,V3AB,BF,-1.2529926075846973
GL20,V7,CF,-0.7151519558634675
GL20,V7,BF,-1.2575011512344059
GL21,Early,CF,0.38033675905113695
