subj,roi,run,corr
GL03,dorsal_PMd,2,0.3119390892212157
GL03,dorsal_PMd,5,0.14406232224249166
GL03,dorsal_M1,2,0.19319260076224862
GL03,dorsal_M1,5,0.44315697855239
GL03,dorsal_S1,2,0.14698203046571462
GL03,dorsal_S1,5,0.07182941631708803
GL03,ventral_PMd,2,0.0929198394477507
GL03,ventral_PMd,5,0.20871640115376236
GL03,ventral_M1,2,0.06885240046019314
GL03,ventral_M1,5,0.3723855647140817
GL03,ventral_S1,2,0.11579131715760155
GL03,ventral_S1,5,0.16056889911761646
GL03,early_PMd,2,0.047419496250629585
GL03,early_PMd,5,-0.10453634033741828
GL03,early_M1,2,0.07722439620106145
GL03,early_M1,5,0.02758319581131578
GL03,early_S1,2,0.6440330920923475
GL03,early_S1,5,0.4162238853675756
GL04,dorsal_PMd,2,0.2535564026097318
GL04,dorsal_PMd,5,0.305429951904831
GL04,dorsal_M1,2,0.17939426171033404
GL04,dorsal_M1,5,0.29730552025608403
GL04,dorsal_S1,2,0.3769066270374522
GL04,dorsal_S1,5,0.3073855864290986
GL04,ventral_PMd,2,0.1366283432064493
GL04,ventral_PMd,5,0.26150261029115046
GL04,ventral_M1,2,0.20129112541979205
GL04,ventral_M1,5,0.35944933832790477
GL04,ventral_S1,2,-0.053285353586472774
GL04,ventral_S1,5,0.1410303022800905
GL04,early_PMd,2,-0.22547224082561682
GL04,early_PMd,5,0.05292519065276434
GL04,early_M1,2,-0.17811604247820648
GL04,early_M1,5,0.07192299996071777
GL04,early_S1,2,0.14672423680735214
GL04,early_S1,5,0.0006649772667296617
GL05,dorsal_PMd,2,0.397014089633346
GL05,dorsal_PMd,5,0.32249508248169945
GL05,dorsal_M1,2,0.0057149297912296075
GL05,dorsal_M1,5,0.3708482973544354
GL05,dorsal_S1,2,-0.021800432740217927
GL05,dorsal_S1,5,0.3317903942814572
GL05,ventral_PMd,2,0.4645213741646802
GL05,ventral_PMd,5,0.3392750948337728
GL05,ventral_M1,2,0.0810161448313685
GL05,ventral_M1,5,0.468143809471097
GL05,ventral_S1,2,0.12815277809280592
GL05,ventral_S1,5,0.3858902443340737
GL05,early_PMd,2,-0.20964943763952196
GL05,early_PMd,5,0.00253085368787361
GL05,early_M1,2,-0.07023181007517071
GL05,early_M1,5,0.0420250481101201
GL05,early_S1,2,0.04131063109461845
GL05,early_S1,5,-0.05082555313048273
GL06,dorsal_PMd,2,0.5853758587718504
GL06,dorsal_PMd,5,0.1694696012576014
GL06,dorsal_M1,2,0.3376654669693806
GL06,dorsal_M1,5,0.2716915468206174
GL06,dorsal_S1,2,-0.028183615009688977
GL06,dorsal_S1,5,0.07841455696906868
GL06,ventral_PMd,2,0.6129872473151292
GL06,ventral_PMd,5,0.5116934168038827
GL06,ventral_M1,2,0.3445965065923677
GL06,ventral_M1,5,0.21601983755912668
GL06,ventral_S1,2,0.03886526539757734
GL06,ventral_S1,5,0.47559209945587605
GL06,early_PMd,2,0.047346235878741844
GL06,early_PMd,5,-0.3614600512332125
GL06,early_M1,2,0.05237570687606108
GL06,early_M1,5,-0.14667340226056458
GL06,early_S1,2,0.4465062591754778
GL06,early_S1,5,-0.17587965058125085
GL07,dorsal_PMd,2,0.35213674209390133
GL07,dorsal_PMd,5,0.41772184747457575
GL07,dorsal_M1,2,0.3879903638019927
GL07,dorsal_M1,5,0.14055484807627772
GL07,dorsal_S1,2,-0.08048808561673723
GL07,dorsal_S1,5,0.14657743234965012
GL07,ventral_PMd,2,0.4617230213923098
GL07,ventral_PMd,5,0.5004083229431445
GL07,ventral_M1,2,0.27367714569206836
GL07,ventral_M1,5,0.2878262986496535
GL07,ventral_S1,2,-0.09188738630638503
GL07,ventral_S1,5,0.05666427684783334
GL07,early_PMd,2,-0.34935559327181054
GL07,early_PMd,5,-0.17451631834408096
GL07,early_M1,2,-0.08971047133815492
GL07,early_M1,5,-0.13899373244264332
GL07,early_S1,2,0.15224110157379064
GL07,early_S1,5,-0.11515534497953209
GL08,dorsal_PMd,2,0.07072287774495571
GL08,dorsal_PMd,5,0.2405689679270931
GL08,dorsal_M1,2,0.18696420971368158
GL08,dorsal_M1,5,0.5304452002226459
GL08,dorsal_S1,2,0.25515457513540896
GL08,dorsal_S1,5,0.2629492447038816
GL08,ventral_PMd,2,0.18695028438209046
GL08,ventral_PMd,5,0.15643174889628078
GL08,ventral_M1,2,0.12525994614470504
GL08,ventral_M1,5,0.2898799742839926
GL08,ventral_S1,2,-0.06553818058867743
GL08,ventral_S1,5,0.04519290950314498
GL08,early_PMd,2,-0.08553028545483198
GL08,early_PMd,5,0.05638547359364045
GL08,early_M1,2,0.20510751439876818
GL08,early_M1,5,-0.04606350396471627
GL08,early_S1,2,0.26502485756699123
GL08,early_S1,5,0.08626488278772731
GL09,dorsal_PMd,2,0.3020799349548761
GL09,dorsal_PMd,5,0.14091261816366105
GL09,dorsal_M1,2,0.2529853571556851
GL09,dorsal_M1,5,0.1497405702171669
GL09,dorsal_S1,2,-0.15472137284908308
GL09,dorsal_S1,5,0.20844479695026757
GL09,ventral_PMd,2,0.33708404147414717
GL09,ventral_PMd,5,0.39239387988391383
GL09,ventral_M1,2,0.2965741816142078
GL09,ventral_M1,5,0.35228002106918654
GL09,ventral_S1,2,-0.04902458188482026
GL09,ventral_S1,5,0.2728117512334413
GL09,early_PMd,2,0.15281326179470728
GL09,early_PMd,5,0.02614005830723109
GL09,early_M1,2,0.1413104619516717
GL09,early_M1,5,0.07863371820651613
GL09,early_S1,2,0.08500180878973107
GL09,early_S1,5,0.3046011132693207
GL10,dorsal_PMd,2,0.5859917168283776
GL10,dorsal_PMd,5,0.3138018111277132
GL10,dorsal_M1,2,0.2143474891221447
GL10,dorsal_M1,5,0.3328450675973641
GL10,dorsal_S1,2,-0.15656293407951982
GL10,dorsal_S1,5,-0.0692086402966426
GL10,ventral_PMd,2,0.8592503682664271
GL10,ventral_PMd,5,0.6034182826769431
GL10,ventral_M1,2,0.2810439833987643
GL10,ventral_M1,5,0.3383934033977716
GL10,ventral_S1,2,0.07604543810735288
GL10,ventral_S1,5,0.3965335962116436
GL10,early_PMd,2,-0.0738816089555569
GL10,early_PMd,5,-0.2879983475649701
GL10,early_M1,2,0.056833818290410315
GL10,early_M1,5,-0.21084608038250569
GL10,early_S1,2,0.4758286395234603
GL10,early_S1,5,0.27268519744044084
GL11,dorsal_PMd,2,0.2952461466040198
GL11,dorsal_PMd,5,0.2113752155008137
GL11,dorsal_M1,2,0.3967646267543468
GL11,dorsal_M1,5,-0.014675325510232737
GL11,dorsal_S1,2,-0.01308736269397242
GL11,dorsal_S1,5,0.010785642328946226
GL11,ventral_PMd,2,0.30870458969048437
GL11,ventral_PMd,5,0.209563887355379
GL11,ventral_M1,2,0.3221090982593674
GL11,ventral_M1,5,0.1833873893781474
GL11,ventral_S1,2,0.18863708583774857
GL11,ventral_S1,5,0.23723136093904246
GL11,early_PMd,2,0.08359750702638023
GL11,early_PMd,5,-0.045592193599517127
GL11,early_M1,2,-0.0441937473386869
GL11,early_M1,5,-0.13881055924597333
GL11,early_S1,2,0.19391014900397652
GL11,early_S1,5,-0.12954002052298097
GL12,dorsal_PMd,2,0.18613625760070554
GL12,dorsal_PMd,5,0.27561533317246906
GL12,dorsal_M1,2,0.276056372143794
GL12,dorsal_M1,5,0.3217397927125044
GL12,dorsal_S1,2,-0.2464932452673668
GL12,dorsal_S1,5,0.24344519054258676
GL12,ventral_PMd,2,0.477108544940088
GL12,ventral_PMd,5,0.06777780549708072
GL12,ventral_M1,2,0.30499421409500344
GL12,ventral_M1,5,0.2850666241878843
GL12,ventral_S1,2,-0.3681950836025213
GL12,ventral_S1,5,0.24111667470701653
GL12,early_PMd,2,0.024830903362477494
GL12,early_PMd,5,-0.18615699930861312
GL12,early_M1,2,0.03894164535746285
GL12,early_M1,5,-0.1320225708500173
GL12,early_S1,2,-0.0658561150335526
GL12,early_S1,5,-0.3945027422593452
GL14,dorsal_PMd,2,0.2694950375563977
GL14,dorsal_PMd,5,0.22505261790002437
GL14,dorsal_M1,2,0.18423280957970606
GL14,dorsal_M1,5,0.18532587728435393
GL14,dorsal_S1,2,-0.21338533399790185
GL14,dorsal_S1,5,0.22791096166524052
GL14,ventral_PMd,2,0.2960453182112467
GL14,ventral_PMd,5,0.2513725042578891
GL14,ventral_M1,2,0.1851882167107434
GL14,ventral_M1,5,0.2230051969753165
GL14,ventral_S1,2,-0.04768412684621547
GL14,ventral_S1,5,0.14099704521250195
GL14,early_PMd,2,-0.1496428895345678
GL14,early_PMd,5,-0.09750029815513876
GL14,early_M1,2,-0.12994597239796743
GL14,early_M1,5,0.007189700578981244
GL14,early_S1,2,0.42460796496909686
GL14,early_S1,5,0.1936261288294427
GL15,dorsal_PMd,2,0.28696724318134287
GL15,dorsal_PMd,5,0.41545634376565155
GL15,dorsal_M1,2,0.3298944571852957
GL15,dorsal_M1,5,0.3992831238563112
GL15,dorsal_S1,2,0.0022902771973521367
GL15,dorsal_S1,5,0.1523278501016998
GL15,ventral_PMd,2,0.4221771349435483
GL15,ventral_PMd,5,0.18738908933011658
GL15,ventral_M1,2,0.43100871807460595
GL15,ventral_M1,5,0.19724318820416065
GL15,ventral_S1,2,0.032605938490437726
GL15,ventral_S1,5,0.3417577294870768
GL15,early_PMd,2,-0.38032750720830333
GL15,early_PMd,5,-0.1025816884459968
GL15,early_M1,2,-0.462387560556985
GL15,early_M1,5,-0.10604287227220364
GL15,early_S1,2,0.40059806544572196
GL15,early_S1,5,0.17209721440056197
GL16,dorsal_PMd,2,0.38957129733893814
GL16,dorsal_PMd,5,0.26155594673163385
GL16,dorsal_M1,2,0.29207549847246334
GL16,dorsal_M1,5,0.28392854362692277
GL16,dorsal_S1,2,0.2704649129157791
GL16,dorsal_S1,5,0.015588938648203399
GL16,ventral_PMd,2,0.2685224261579243
GL16,ventral_PMd,5,0.36834024094361384
GL16,ventral_M1,2,0.25414527773484563
GL16,ventral_M1,5,0.3839562335116138
GL16,ventral_S1,2,0.1928070645506253
GL16,ventral_S1,5,0.2456369235836715
GL16,early_PMd,2,-0.3186002589709955
GL16,early_PMd,5,-0.2363241944350475
GL16,early_M1,2,-0.42585537707765736
GL16,early_M1,5,-0.2609044171737221
GL16,early_S1,2,-0.1631367376905928
GL16,early_S1,5,-0.23853423093017734
GL17,dorsal_PMd,2,0.19016295545729509
GL17,dorsal_PMd,5,0.16897169595777853
GL17,dorsal_M1,2,0.19011227221616517
GL17,dorsal_M1,5,0.08368394944996575
GL17,dorsal_S1,2,0.21408663034519276
GL17,dorsal_S1,5,0.2551637536220073
GL17,ventral_PMd,2,0.2641103524039794
GL17,ventral_PMd,5,0.289072369975685
GL17,ventral_M1,2,0.3286023762937524
GL17,ventral_M1,5,0.2134012073075728
GL17,ventral_S1,2,0.23015917980367268
GL17,ventral_S1,5,0.32301484532508046
GL17,early_PMd,2,-0.06831850460382409
GL17,early_PMd,5,0.07969681400037738
GL17,early_M1,2,-0.06494196027707753
GL17,early_M1,5,0.08985010715370252
