subj,roi,run,corr
GL03,SPL_PMd,2,0.2205784673264012
GL03,SPL_PMd,5,0.2012268682540292
GL03,SPL_M1,2,-0.037861339255993845
GL03,SPL_M1,5,0.24261051075793758
GL03,SPL_S1,2,0.16466128409358402
GL03,SPL_S1,5,0.2102796148895371
GL03,SPL_dorsal,2,0.20637594455944422
GL03,SPL_dorsal,5,0.3652317986979798
GL03,SPL_ventral,2,0.19078920954373182
GL03,SPL_ventral,5,0.4208031938988674
GL03,SPL_early,2,0.20640941215973097
GL03,SPL_early,5,0.08414041107714718
GL04,SPL_PMd,2,0.2560251486471144
GL04,SPL_PMd,5,0.1684958663811063
GL04,SPL_M1,2,0.2870883190059074
GL04,SPL_M1,5,0.12385265729585114
GL04,SPL_S1,2,-0.15638754539314376
GL04,SPL_S1,5,-0.07416592175240752
GL04,SPL_dorsal,2,0.49656000749398327
GL04,SPL_dorsal,5,0.2520615844810027
GL04,SPL_ventral,2,0.0929371361672228
GL04,SPL_ventral,5,0.24904267917553127
GL04,SPL_early,2,0.25509408350620183
GL04,SPL_early,5,-0.1927054650449638
GL05,SPL_PMd,2,0.48553096059748513
GL05,SPL_PMd,5,0.4047259272449395
GL05,SPL_M1,2,0.12225666599745619
GL05,SPL_M1,5,0.40832182930304833
GL05,SPL_S1,2,-0.049785426761435714
GL05,SPL_S1,5,-0.16892500716750425
GL05,SPL_dorsal,2,0.6247846692448008
GL05,SPL_dorsal,5,0.6452530680316354
GL05,SPL_ventral,2,0.7106488543002789
GL05,SPL_ventral,5,0.5937169618143989
GL05,SPL_early,2,0.20934112111244044
GL05,SPL_early,5,0.21745208315647532
GL06,SPL_PMd,2,0.39026791693465906
GL06,SPL_PMd,5,0.388228824860576
GL06,SPL_M1,2,0.26521357745705015
GL06,SPL_M1,5,0.12050693371685939
GL06,SPL_S1,2,-0.011708636695139519
GL06,SPL_S1,5,-0.20906717630397764
GL06,SPL_dorsal,2,0.5764836746460842
GL06,SPL_dorsal,5,0.14114960360910647
GL06,SPL_ventral,2,0.5969244817315756
